workclass,education,marital-status,occupation,relationship,sex,marital-status_index,workclass_index,relationship_index,occupation_index,education_index,sex_index
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,4,1,1,1
Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,11,0
Private,Some-college,Divorced,Other-service,Unmarried,Female,2,0,3,5,1,1
Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,Male,0,5,0,4,3,0
Self-emp-not-inc,10th,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,0,11,7,0
?,7th-8th,Widowed,?,Not-in-family,Female,3,3,1,7,8,1
?,Bachelors,Widowed,?,Not-in-family,Female,3,3,1,7,2,1
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,2,1,0
Private,HS-grad,Never-married,Sales,Own-child,Female,1,0,2,4,0,1
Private,Some-college,Never-married,Sales,Unmarried,Male,1,0,3,4,1,0
Private,Some-college,Never-married,Prof-specialty,Not-in-family,Male,1,0,1,2,1,0
Private,Bachelors,Widowed,Prof-specialty,Not-in-family,Female,3,0,1,2,2,1
Private,12th,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,10,0
Private,12th,Divorced,Transport-moving,Not-in-family,Male,2,0,1,8,10,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
?,10th,Never-married,?,Own-child,Male,1,3,2,7,7,0
State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Wife,Female,0,4,4,2,9,1
Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,4,3,1,1
Private,Bachelors,Never-married,Transport-moving,Not-in-family,Male,1,0,1,8,2,0
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,0,0
?,Some-college,Never-married,?,Own-child,Female,1,3,2,7,1,1
State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,0,4,0,3,2,0
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,0,1
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,11th,Never-married,Machine-op-inspct,Unmarried,Female,1,0,3,6,5,1
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,0,0
Private,HS-grad,Divorced,Craft-repair,Own-child,Male,2,0,2,0,0,0
Private,HS-grad,Never-married,Other-service,Unmarried,Male,1,0,3,5,0,0
Private,Some-college,Never-married,Sales,Not-in-family,Female,1,0,1,4,1,1
Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,6,0,1,0,0
State-gov,Bachelors,Divorced,Adm-clerical,Unmarried,Female,2,4,3,3,2,1
Local-gov,12th,Married-civ-spouse,Craft-repair,Husband,Male,0,2,0,0,10,0
Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,0,2,0,12,1,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,2,0
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,Female,0,0,4,0,0,1
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,1,0,1,6,0,0
Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,Female,1,2,2,2,2,1
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,1,0
Private,10th,Never-married,Handlers-cleaners,Unmarried,Male,1,0,3,9,7,0
Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,Male,1,0,5,9,0,0
Private,Some-college,Divorced,Prof-specialty,Not-in-family,Female,2,0,1,2,1,1
Local-gov,Assoc-voc,Never-married,Protective-serv,Unmarried,Male,1,2,3,12,4,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,HS-grad,Widowed,Priv-house-serv,Other-relative,Female,3,0,5,13,0,1
Private,Assoc-voc,Divorced,Protective-serv,Not-in-family,Male,2,0,1,12,4,0
?,7th-8th,"",?,Not-in-family,Male,"",3,1,7,8,0
Private,11th,Divorced,Other-service,Unmarried,Female,2,0,3,5,5,1
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,1,0
Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,6,0,0,0,0
State-gov,Masters,Never-married,Prof-specialty,Not-in-family,Male,1,4,1,2,3,0
State-gov,HS-grad,Never-married,Other-service,Not-in-family,Female,1,4,1,5,0,1
Private,Bachelors,Never-married,Exec-managerial,Unmarried,Male,1,0,3,1,2,0
Private,HS-grad,Never-married,Other-service,Own-child,Male,1,0,2,5,0,0
Private,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,1,0
Private,Some-college,Never-married,Sales,Own-child,Female,1,0,2,4,1,1
Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,0,0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,0,0,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,2,2,3,2,2,1
Private,11th,Widowed,Handlers-cleaners,Unmarried,Female,3,0,3,9,5,1
Private,HS-grad,Separated,Machine-op-inspct,Unmarried,Female,4,0,3,6,0,1
Private,HS-grad,Separated,Machine-op-inspct,Own-child,Female,4,0,2,6,0,1
Local-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,Female,1,2,1,3,2,1
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,2,0,3,1,0
Private,HS-grad,Divorced,Prof-specialty,Not-in-family,Male,2,0,1,2,0,0
Private,Assoc-acdm,Never-married,Sales,Not-in-family,Male,1,0,1,4,6,0
Private,"",Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,"",0
Private,Some-college,Never-married,Other-service,Own-child,Male,1,0,2,5,1,0
Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,Female,1,0,1,6,1,1
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,0,0
Private,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,1,0
Private,10th,Divorced,Other-service,Not-in-family,Female,2,0,1,5,7,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,4,3,0,1
Local-gov,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,2,0,9,1,0
Private,10th,Never-married,Prof-specialty,Not-in-family,Male,1,0,1,2,7,0
State-gov,HS-grad,Separated,Adm-clerical,Own-child,Female,4,4,2,3,0,1
Private,Assoc-voc,Divorced,Prof-specialty,Not-in-family,Female,2,0,1,2,4,1
Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,Male,2,0,1,9,0,0
Private,Some-college,Never-married,Other-service,Own-child,Female,1,0,2,5,1,1
Private,Some-college,Married-civ-spouse,Sales,Wife,Female,0,0,4,4,1,1
Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,0,5,0,1,11,0
Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,Male,2,0,3,9,0,0
Private,Some-college,Married-civ-spouse,Other-service,Husband,Male,0,0,0,5,1,0
Private,Doctorate,Never-married,Prof-specialty,Not-in-family,Female,1,0,1,2,11,1
Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,0,1
Private,HS-grad,Never-married,Other-service,Other-relative,Female,1,0,5,5,0,1
Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,0,1
Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,1,1
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,4,6,0,1
Private,Bachelors,Never-married,Prof-specialty,Own-child,Female,1,0,2,2,2,1
Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,Male,1,0,5,9,0,0
Local-gov,Bachelors,Widowed,Prof-specialty,Not-in-family,Female,3,2,1,2,2,1
Private,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,1,0
Private,HS-grad,"",Other-service,Own-child,Female,"",0,2,5,0,1
Private,HS-grad,Never-married,Other-service,Own-child,Female,1,0,2,5,0,1
Private,Preschool,Never-married,Other-service,Other-relative,Female,1,0,5,5,14,1
Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,1,1
Private,HS-grad,Widowed,Other-service,Unmarried,Female,3,0,3,5,0,1
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,3,0
Private,HS-grad,Never-married,Other-service,Not-in-family,Male,1,0,1,5,0,0
?,Doctorate,Widowed,?,Not-in-family,Female,3,3,1,7,11,1
Self-emp-inc,HS-grad,Married-civ-spouse,Other-service,Husband,Male,0,5,0,5,0,0
Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,4,0
Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,0,0
Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,Male,0,5,0,4,1,0
Local-gov,7th-8th,Widowed,Other-service,Not-in-family,Female,3,2,1,5,8,1
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,0,1
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,"",Divorced,Craft-repair,Unmarried,Female,2,0,3,0,"",1
Private,5th-6th,Married-civ-spouse,Other-service,Husband,Male,0,0,0,5,12,0
Private,Some-college,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,1,1
Self-emp-not-inc,Some-college,Never-married,Transport-moving,Not-in-family,Male,1,1,1,8,1,0
?,HS-grad,Married-civ-spouse,?,Husband,Male,0,3,0,7,0,0
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,3,0
Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,0,0
Private,HS-grad,Never-married,Exec-managerial,Own-child,Female,1,0,2,1,0,1
Private,10th,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,7,0
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,2,0
State-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,2,4,1,3,0,1
?,HS-grad,Married-civ-spouse,?,Husband,Male,0,3,0,7,0,0
Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,4,2,2,1
Private,Some-college,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,1,1
Private,Some-college,Never-married,Machine-op-inspct,Own-child,Male,1,0,2,6,1,0
Private,HS-grad,Never-married,Other-service,Not-in-family,Male,1,0,1,5,0,0
Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,0,1
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Own-child,Female,0,0,2,3,6,1
Private,7th-8th,Widowed,Other-service,Not-in-family,Female,3,0,1,5,8,1
Private,Some-college,Never-married,Priv-house-serv,Not-in-family,Female,1,0,1,13,1,1
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,0,2,4,2,2,1
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,3,0
Private,HS-grad,Never-married,Craft-repair,Own-child,Female,1,0,2,0,0,1
Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Male,1,0,1,9,1,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Self-emp-inc,Bachelors,Never-married,Sales,Own-child,Male,1,5,2,4,2,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
?,11th,Never-married,?,Own-child,Female,1,3,2,7,5,1
Private,HS-grad,Never-married,Sales,Not-in-family,Male,1,0,1,4,0,0
Private,Some-college,Widowed,Protective-serv,Not-in-family,Female,3,0,1,12,1,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,0,1,1,0
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,2,9,0
Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,4,3,4,1
Private,HS-grad,Never-married,Other-service,Own-child,Female,1,0,2,5,0,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,4,3,0,1
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,0,2,0,0,2,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,4,6,0,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,0,4,0,12,1,0
Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,0,1
Local-gov,HS-grad,Widowed,Other-service,Unmarried,Female,3,2,3,5,0,1
Federal-gov,Assoc-acdm,Married-civ-spouse,Sales,Husband,Male,0,6,0,4,6,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,9,0
Local-gov,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,2,0,11,1,0
Private,12th,Never-married,Farming-fishing,Own-child,Male,1,0,2,11,10,0
Private,10th,Married-civ-spouse,Other-service,Husband,Male,0,0,0,5,7,0
Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,Male,0,2,0,12,2,0
Private,12th,Never-married,Sales,Other-relative,Male,1,0,5,4,10,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,1,0
Private,Some-college,Divorced,Handlers-cleaners,Other-relative,Male,2,0,5,9,1,0
Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,0,0
Private,HS-grad,Never-married,Other-service,Not-in-family,Male,1,0,1,5,0,0
?,Bachelors,Married-civ-spouse,?,Husband,Male,0,3,0,7,2,0
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,11,0
State-gov,Doctorate,Divorced,Prof-specialty,Unmarried,Female,2,4,3,2,11,1
?,Some-college,Never-married,?,Own-child,Female,1,3,2,7,1,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,0,11,1,0
Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,7,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Female,0,2,4,2,11,1
Private,5th-6th,Separated,Machine-op-inspct,Not-in-family,Male,4,0,1,6,12,0
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,3,0
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,1,0,1,1,2,0
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,3,0
Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,0,2,0,12,1,0
Private,"",Widowed,Other-service,Unmarried,Female,3,0,3,5,"",1
Private,Doctorate,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,4,1,11,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,0,0
State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,4,0,1,3,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Assoc-voc,Never-married,Other-service,Not-in-family,Female,1,0,1,5,4,1
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,1,1
Private,Bachelors,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,2,1
Private,HS-grad,Never-married,Transport-moving,Own-child,Male,1,0,2,8,0,0
Private,Masters,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,3,0
Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,Male,0,2,0,12,6,0
State-gov,7th-8th,Married-civ-spouse,Transport-moving,Husband,Male,0,4,0,8,8,0
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,0,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,4,6,0,1
Private,10th,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,0,11,7,0
Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,4,0
?,Some-college,Never-married,?,Not-in-family,Female,1,3,1,7,1,1
Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,6,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Some-college,Divorced,Craft-repair,Not-in-family,Male,2,0,1,0,1,0
Private,HS-grad,"",Machine-op-inspct,Own-child,Male,"",0,2,6,0,0
Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,6,0,2,9,0
Private,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,Female,2,0,1,1,6,1
Private,Preschool,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,14,0
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,0,1
State-gov,Masters,Never-married,Prof-specialty,Unmarried,Female,1,4,3,2,3,1
Private,Some-college,Never-married,Other-service,Own-child,Female,1,0,2,5,1,1
Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,0,0
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,5,0,1,1,0
Private,HS-grad,Married-civ-spouse,Adm-clerical,Other-relative,Female,0,0,5,3,0,1
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,1,0
Private,Some-college,Separated,Sales,Unmarried,Female,4,0,3,4,1,1
Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,0,0
Private,Bachelors,Never-married,Prof-specialty,Unmarried,Female,1,0,3,2,2,1
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,0,0
Federal-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,0,6,0,12,1,0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,1,0
Private,Bachelors,Never-married,Sales,Not-in-family,Male,1,0,1,4,2,0
Private,HS-grad,Divorced,Other-service,Not-in-family,Female,2,0,1,5,0,1
?,HS-grad,Never-married,?,Not-in-family,Male,1,3,1,7,0,0
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,2,0
State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,1,4,1,2,2,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
Private,7th-8th,Never-married,Other-service,Own-child,Male,1,0,2,5,8,0
Private,7th-8th,Never-married,Machine-op-inspct,Own-child,Female,1,0,2,6,8,1
Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Female,1,2,1,2,2,1
Federal-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,1,6,1,1,2,1
Private,Bachelors,Never-married,Other-service,Not-in-family,Male,1,0,1,5,2,0
Private,HS-grad,Never-married,Sales,Own-child,Female,1,0,2,4,0,1
Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,0,9,5,0
Self-emp-not-inc,HS-grad,Divorced,Craft-repair,Not-in-family,Male,2,1,1,0,0,0
Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Not-in-family,Male,1,1,1,11,0,0
Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,1,0,2,9,1,0
?,Some-college,Never-married,?,Not-in-family,Female,1,3,1,7,1,1
?,HS-grad,Married-civ-spouse,?,Husband,Male,0,3,0,7,0,0
Private,11th,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,0,11,5,0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,1,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Assoc-voc,Never-married,Craft-repair,Not-in-family,Male,1,0,1,0,4,0
Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Male,2,0,3,6,0,0
State-gov,Assoc-acdm,Married-civ-spouse,Other-service,Husband,Male,0,4,0,5,6,0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,0,1,0,0
Private,HS-grad,"",Sales,Not-in-family,Male,"",0,1,4,0,0
Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,5,0,4,0,0
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,1,0,1,6,0,0
Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,1,0,4,2,0
?,"",Never-married,?,Own-child,Male,1,3,2,7,"",0
Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,2,2,1,3,0,1
Private,HS-grad,Never-married,Other-service,Other-relative,Female,1,0,5,5,0,1
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,1,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,Some-college,Never-married,Exec-managerial,Own-child,Female,1,0,2,1,1,1
Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,2,1
Private,HS-grad,Never-married,Sales,Not-in-family,Female,1,0,1,4,0,1
Private,Some-college,Never-married,Sales,Own-child,Male,1,0,2,4,1,0
Private,Some-college,Never-married,Other-service,Own-child,Female,1,0,2,5,1,1
Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,4,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,0,0
?,11th,Never-married,?,Own-child,Female,1,3,2,7,5,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,10th,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,7,0
Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,5,0,1,2,0
Private,Some-college,Never-married,Other-service,Not-in-family,Male,1,0,1,5,1,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,0,6,0,0
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,1,0
Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,6,0
Private,10th,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,7,0
Private,HS-grad,Divorced,Adm-clerical,Own-child,Female,2,0,2,3,0,1
Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,5,0,1,2,0
Private,5th-6th,Divorced,Craft-repair,Not-in-family,Male,2,0,1,0,12,0
Private,1st-4th,"",Priv-house-serv,Not-in-family,Female,"",0,1,13,13,1
Private,HS-grad,Separated,Sales,Not-in-family,Female,4,0,1,4,0,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,11th,Never-married,Sales,Own-child,Female,1,0,2,4,5,1
Local-gov,HS-grad,Divorced,Protective-serv,Not-in-family,Female,2,2,1,12,0,1
Private,Assoc-voc,Never-married,Adm-clerical,Own-child,Female,1,0,2,3,4,1
Private,Bachelors,Never-married,Sales,Own-child,Female,1,0,2,4,2,1
Private,Prof-school,Never-married,Prof-specialty,Other-relative,Female,1,0,5,2,9,1
Private,HS-grad,Divorced,Sales,Unmarried,Female,2,0,3,4,0,1
Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,0,11,1,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Private,7th-8th,Never-married,Handlers-cleaners,Not-in-family,Female,1,0,1,9,8,1
Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,4,1,0,1
Private,Masters,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,0,3,3,0
Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,4,0
Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,2,11,0
Private,Some-college,Divorced,Exec-managerial,Not-in-family,Female,2,0,1,1,1,1
Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,1,0,1,0,0,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Self-emp-not-inc,HS-grad,Separated,Other-service,Unmarried,Female,4,1,3,5,0,1
?,Some-college,Never-married,?,Own-child,Female,1,3,2,7,1,1
Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Male,0,0,0,10,4,0
Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,0,1,3,0
Private,Bachelors,Divorced,Prof-specialty,Not-in-family,Female,2,0,1,2,2,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,0,1,2,0
Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,Male,1,1,1,2,1,0
Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,Female,1,0,1,3,6,1
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,HS-grad,Widowed,Sales,Not-in-family,Female,3,0,1,4,0,1
?,Bachelors,Divorced,?,Not-in-family,Female,2,3,1,7,2,1
Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,0,0
Private,Some-college,Never-married,Other-service,Other-relative,Male,1,0,5,5,1,0
Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Male,1,0,1,3,2,0
Private,HS-grad,Divorced,Sales,Not-in-family,Female,2,0,1,4,0,1
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,5,0,0,0,0
Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,2,11,0
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,5,0,0,0,0
Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,1,0,2,6,0,0
